"Pos
                    " "Name" "id"
"2" "1" "Harris English" 1
"3" "2" "Joaquin Niemann" 1
"4" "3" "Justin Thomas" 1
"5" "4" "Ryan Palmer" 1
"6" "T5" "Sungjae Im" 1
"7" "T5" "Xander Schauffele" 1
"8" "T7" "Collin Morikawa" 1
"9" "T7" "Jon Rahm" 1
"10" "T7" "Bryson DeChambeau" 1
"11" "10" "Daniel Berger" 1
"12" "T11" "Sergio Garcia" 1
"13" "T11" "Dustin Johnson" 1
"14" "T13" "Brendon Todd" 1
"15" "T13" "Lanto Griffin" 1
"16" "T13" "Patrick Cantlay" 1
"17" "T13" "Scottie Scheffler" 1
"18" "T17" "Abraham Ancer" 1
"19" "T17" "Martin Laird" 1
"20" "T17" "Webb Simpson" 1
"21" "T17" "Sebastian Munoz" 1
"22" "T21" "Adam Scott" 1
"23" "T21" "Michael Thompson" 1
"24" "T21" "Patrick Reed" 1
"25" "T24" "Cameron Smith" 1
"26" "T24" "Richy Werenski" 1
"27" "T24" "Marc Leishman" 1
"28" "T24" "Billy Horschel" 1
"29" "T24" "Kevin Kisner" 1
"30" "T29" "Brian Gay" 1
"31" "T29" "Nick Taylor" 1
"32" "T31" "Stewart Cink" 1
"33" "T31" "Tony Finau" 1
"34" "T31" "Viktor Hovland" 1
"35" "T31" "Cameron Champ" 1
"36" "T35" "Hudson Swafford" 1
"37" "T35" "Jason Kokrak" 1
"38" "37" "Carlos Ortiz" 1
"39" "T38" "Robert Streb" 1
"40" "T38" "Kevin Na" 1
"41" "T38" "Andrew Landry" 1
"42" "T41" "Hideki Matsuyama" 1
"43" "T41" "Mackenzie Hughes" 1
"210" "1" "Kevin Na" 2
"310" "T2" "Chris Kirk" 2
"410" "T2" "Joaquin Niemann" 2
"510" "T4" "Brendan Steele" 2
"610" "T4" "Webb Simpson" 2
"710" "T4" "Marc Leishman" 2
"810" "T7" "Billy Horschel" 2
"910" "T7" "Daniel Berger" 2
"1010" "T7" "Collin Morikawa" 2
"1110" "T7" "Patton Kizzire" 2
"1210" "T11" "Russell Henley" 2
"1310" "T11" "Nick Taylor" 2
"146" "T11" "Matt Jones" 2
"151" "T14" "Charley Hoffman" 2
"161" "T14" "Carlos Ortiz" 2
"171" "T14" "Peter Malnati" 2
"181" "T14" "Keith Mitchell" 2
"191" "T14" "Nick Hardy" 2
"201" "T19" "Kramer Hickok" 2
"211" "T19" "Mackenzie Hughes" 2
"221" "T19" "Kyoung-Hoon Lee" 2
"231" "T19" "Hideki Matsuyama" 2
"241" "T19" "Stewart Cink" 2
"251" "T19" "Charles Howell III" 2
"261" "T25" "Vaughn Taylor" 2
"271" "T25" "Michael Thompson" 2
"281" "T25" "Siwoo Kim" 2
"291" "T25" "Hudson Swafford" 2
"301" "T25" "Robby Shelton IV" 2
"311" "T25" "Sepp Straka" 2
"321" "31" "Cameron Davis" 2
"331" "T32" "Wesley Bryan" 2
"341" "T32" "Harry Higgs" 2
"351" "T32" "Harris English" 2
"361" "T32" "Mark Hubbard" 2
"371" "T32" "Jim Herman" 2
"381" "T32" "Kevin Kisner" 2
"391" "T32" "Brice Garnett" 2
"401" "T32" "Ryan Armour" 2
"411" "T32" "Pat Perez" 2
"421" "T41" "Adam Scott" 2
"431" "T41" "Aaron Baddeley" 2
"44" "T41" "Ryan Palmer" 2
"45" "T41" "Brendon Todd" 2
"46" "T41" "James Hahn" 2
"47" "T41" "Lanto Griffin" 2
"48" "T47" "Nelson Ledesma" 2
"49" "T47" "Martin Trainer" 2
"50" "T47" "Emiliano Grillo" 2
"51" "T47" "Austin Cook" 2
"52" "T47" "Brian Stuard" 2
"53" "T47" "Scott Brown" 2
"54" "T47" "Sergio Garcia" 2
"55" "T47" "Mike Weir" 2
"56" "T47" "Jim Furyk" 2
"57" "T56" "Brian Harman" 2
"58" "T56" "Troy Merritt" 2
"59" "T56" "Jason Kokrak" 2
